,date,new_count,updated_count,updated_cum_count,new_cum_count
154,2022-07-19,0,17,10171,0
155,2022-07-24,0,38,10209,0
156,2022-07-31,0,35,10244,0
157,2022-08-07,0,26,10270,0
158,2022-08-15,0,13,10283,0
159,2022-08-16,0,57,10340,0
160,2022-08-21,0,48,10388,0
161,2022-08-28,0,32,10420,0
162,2022-09-04,0,13,10433,0
163,2022-09-11,0,10,10443,0
164,2022-09-18,0,12,10455,0
165,2022-09-25,0,52,10507,0
166,2022-10-02,0,7,10514,0
167,2022-10-03,0,85,10599,0
168,2022-10-09,0,12,10611,0
169,2022-10-16,0,35,10646,0
170,2022-10-23,0,17,10663,0
171,2022-10-31,0,40,10703,0
172,2022-11-06,0,21,10724,0
173,2022-11-07,0,7,10731,0
174,2022-11-14,0,16,10747,0
175,2022-11-20,0,13,10760,0
176,2022-11-27,0,22,10782,0
177,2022-12-06,0,205,10987,0
178,2022-12-11,0,34,11021,0
179,2022-12-18,0,8,11029,0
180,2022-12-25,0,11,11040,0
181,2023-01-01,0,10,11050,0
182,2023-01-08,0,12,11062,0
183,2023-01-10,0,14,11076,0
184,2023-01-15,0,98,11174,0
185,2023-01-22,0,167,11341,0
186,2023-01-29,0,7,11348,0
187,2023-02-05,0,7,11355,0
188,2023-02-12,0,19,11374,0
189,2023-02-19,0,10,11384,0
190,2023-02-27,0,97,11481,0
191,2023-03-05,0,235,11716,0
192,2023-03-12,0,0,11716,0
193,2023-03-20,0,73,11789,0
194,2023-03-26,0,24,11813,0
195,2023-04-02,0,48,11861,0
196,2023-04-09,0,45,11906,0
197,2023-04-16,0,44,11950,0
198,2023-04-23,0,43,11993,0
199,2023-04-30,0,30,12023,0
200,2023-05-07,0,14,12037,0
201,2023-05-14,0,17,12054,0
202,2023-05-21,0,44,12098,0
203,2023-05-28,0,13,12111,0
204,2023-06-04,0,201,12312,0
205,2023-06-11,0,20,12332,0
206,2023-06-18,0,16,12348,0
207,2023-06-25,0,23,12371,0
208,2023-06-27,0,22,12393,0
209,2023-07-02,0,29,12422,0
210,2023-07-09,0,33,12455,0
211,2023-07-16,0,34,12489,0
212,2023-07-23,0,20,12509,0
213,2023-07-30,0,16,12525,0
214,2023-08-06,0,13,12538,0
215,2023-08-13,0,81,12619,0
216,2023-08-20,0,24,12643,0
217,2023-08-27,0,40,12683,0
218,2023-09-03,0,21,12704,0
219,2023-09-10,0,18,12722,0
220,2023-09-17,0,8,12730,0
221,2023-09-25,0,25,12755,0
222,2023-09-26,0,57,12812,0
223,2023-10-01,0,49,12861,0
224,2023-10-05,0,199,13060,0
225,2023-10-06,0,20,13080,0
226,2023-10-08,0,26,13106,0
227,2023-10-15,0,94,13200,0
228,2023-10-22,0,9,13209,0
229,2023-10-29,0,89,13298,0
230,2023-11-06,0,93,13391,0
231,2023-11-12,0,58,13449,0
232,2023-11-14,0,22,13471,0
233,2023-11-19,0,59,13530,0
234,2023-11-26,0,41,13571,0
235,2023-12-03,0,31,13602,0
236,2023-12-07,0,31,13633,0
237,2023-12-10,0,15,13648,0
238,2023-12-17,0,36,13684,0
239,2023-12-24,0,53,13737,0
240,2023-12-31,0,11,13748,0
241,2024-01-07,0,16,13764,0
242,2024-01-14,0,12,13776,0
243,2024-01-21,0,58,13834,0
244,2024-01-28,0,43,13877,0
245,2024-02-04,0,20,13897,0
246,2024-02-11,0,56,13953,0
247,2024-02-18,0,220,14173,0
248,2024-02-25,0,17,14190,0
249,2024-03-04,0,124,14314,0
250,2024-03-10,0,37,14351,0
251,2024-03-17,0,135,14486,0
252,2024-03-24,0,69,14555,0
253,2024-03-31,0,45,14600,0
254,2024-04-07,0,22,14622,0
255,2024-04-14,0,35,14657,0
256,2024-04-21,0,83,14740,0
257,2024-04-28,0,45,14785,0
258,2024-04-29,0,54,14839,0
259,2024-05-05,0,24,14863,0
260,2024-05-12,0,8,14871,0
261,2024-05-19,0,25,14896,0
262,2024-05-26,0,17,14913,0
263,2024-05-28,0,6,14919,0
264,2024-06-02,0,36,14955,0
265,2024-06-05,0,87,15042,0
266,2024-06-09,0,11,15053,0
267,2024-06-10,0,0,15053,0
268,2024-06-16,0,152,15205,0
269,2024-06-23,0,10,15215,0
270,2024-07-01,0,202,15417,0
271,2024-07-07,0,23,15440,0
272,2024-07-09,0,60,15500,0
273,2024-07-14,0,12,15512,0
274,2024-07-21,0,25,15537,0
275,2024-07-27,0,13,15550,0
276,2024-07-28,0,18,15568,0
277,2024-07-29,0,9,15577,0
278,2024-07-31,0,69,15646,0
279,2024-08-01,0,8,15654,0
280,2024-08-03,0,19,15673,0
281,2024-08-04,0,47,15720,0
282,2024-08-11,0,34,15754,0
283,2024-08-18,0,114,15868,0
284,2024-08-25,0,77,15945,0
285,2024-09-02,0,73,16018,0
286,2024-09-08,0,41,16059,0
287,2024-09-12,0,56,16115,0
288,2024-09-16,0,209,16324,0
289,2024-09-23,0,100,16424,0
290,2024-09-29,0,174,16598,0
291,2024-10-06,0,136,16734,0
292,2024-10-08,0,8,16742,0
293,2024-10-13,0,69,16811,0
294,2024-10-17,0,18,16829,0
295,2024-10-21,0,41,16870,0
296,2024-10-27,0,57,16927,0
297,2024-11-03,0,212,17139,0
298,2024-11-10,0,103,17242,0
299,2024-11-17,0,74,17316,0
300,2024-11-24,0,30,17346,0
301,2024-12-01,0,9,17355,0
302,2024-12-08,0,61,17416,0
303,2024-12-15,0,34,17450,0
304,2024-12-22,0,23,17473,0
305,2024-12-29,0,17,17490,0
306,2025-01-05,0,10,17500,0
307,2025-01-12,0,25,17525,0
308,2025-01-19,0,31,17556,0
309,2025-01-27,0,55,17611,0
310,2025-02-02,0,23,17634,0
311,2025-02-09,0,63,17697,0
312,2025-02-16,0,10,17707,0
313,2025-02-20,0,77,17784,0
314,2025-02-23,0,20,17804,0
315,2025-03-02,0,58,17862,0
316,2025-03-09,0,42,17904,0
317,2025-03-17,0,66,17970,0
318,2025-03-23,0,37,18007,0
319,2025-03-30,0,36,18043,0
320,2025-04-06,0,52,18095,0
321,2025-04-13,0,19,18114,0
322,2025-04-20,0,23,18137,0
323,2025-04-28,0,47,18184,0
324,2025-05-04,0,13,18197,0
325,2025-05-11,0,197,18394,0
326,2025-05-18,0,60,18454,0
327,2025-05-25,0,10,18464,0
328,2025-06-02,0,49,18513,0
329,2025-06-10,0,49,18562,0
330,2025-06-16,0,1289,19851,0
331,2025-06-23,0,68,19919,0
332,2025-06-30,0,49,19968,0
333,2025-07-07,0,56,20024,0
334,2025-07-14,0,46,20070,0
335,2025-07-21,0,238,20308,0
336,2025-08-03,0,0,20308,0
337,2025-08-11,0,104,20412,0
338,2025-08-18,0,109,20521,0
339,2025-08-24,0,22,20543,0
340,2025-08-31,0,21,20564,0
